"Index","Bitcoin.Close"
2010-07-31,0.06
2010-08-31,0.06
2010-09-30,0.06
2010-10-31,0.19
2010-11-30,0.21
2010-12-31,0.3
2011-01-31,0.52
2011-02-28,0.86
2011-03-31,0.78
2011-04-30,2.88
2011-05-31,8.74
2011-06-30,16.1
2011-07-31,13.5
2011-08-31,8.2
2011-09-30,5.14
2011-10-31,3.25
2011-11-30,2.97
2011-12-31,4.25
2012-01-31,5.48
2012-02-29,4.86
2012-03-31,4.86
2012-04-30,4.95
2012-05-31,5.18
2012-06-30,6.65
2012-07-31,9.35
2012-08-31,10.16
2012-09-30,12.39
2012-10-31,11.2
2012-11-30,12.57
2012-12-31,13.51
2013-01-31,20.41
2013-02-28,33.38
2013-03-31,90.5
2013-04-30,133.75
2013-05-31,127.2
2013-06-30,96.99
2013-07-31,97.25
2013-08-31,126.02
2013-09-30,127.09
2013-10-31,206.34
2013-11-30,1137.0001
2013-12-31,746.8901
2014-01-31,806.6901
2014-02-28,566.91
2014-03-31,465.7501
2014-04-30,448.235
2014-05-31,613.92
2014-06-30,646.965
2014-07-31,586.355
2014-08-31,509.3525
2014-09-30,389.675
2014-10-31,342.3826
2014-11-30,377.7725
2014-12-31,317.3625
2015-01-31,229.6675
2015-02-28,254.8675
2015-03-31,244.1375
2015-04-30,236.5813
2015-05-31,235.9475
2015-06-30,260.97
2015-07-31,284.6949
2015-08-31,230.41
2015-09-30,236.99
2015-10-31,323.225
2015-11-30,376.8175
2015-12-31,432.115
2016-01-31,375.1976
2016-02-29,433.9125
2016-03-31,416.8451
2016-04-30,455.1451
2016-05-31,521.7375
2016-06-30,665.265
2016-07-31,657.67
2016-08-31,572.405
2016-09-30,605.9922
2016-10-31,702.1675
2016-11-30,743.2575
2016-12-31,952.0094
